frequency_Hz,intensity_normalized
100000186584452.33,0.1539655392920929
100000189773930.14,0.14960113530499183
100000192963407.95,0.1454094066890837
100000196152885.77,0.14138195052912692
100000199342363.6,0.1375108266548186
100000202531841.4,0.1337885311875708
100000205721319.22,0.13020797125560274
100000208910797.05,0.12676244121532854
100000212100274.86,0.12344560015827302
100000215289752.67,0.1202514505255099
100000218479230.5,0.1171743180860387
100000221668708.31,0.11420883306339218
100000224858186.12,0.11134991223603606
100000228047663.95,0.1085927422291792
100000231237141.77,0.10593276379721572
100000234426619.58,0.10336565693419311
100000237616097.4,0.10088732700329481
100000240805575.22,0.09849389170322899
100000243995053.03,0.09618166872389984
100000247184530.86,0.09394716426286051
100000250374008.67,0.09178706223964152
100000253563486.48,0.08969821407580232
100000256752964.3,0.08767762920672022
100000259942442.12,0.08572246611223214
100000263131919.94,0.08383002395309469
100000266321397.75,0.08199773462503072
100000269510875.58,0.08022315538104893
100000272700353.39,0.078503961898865
100000275889831.2,0.07683794169331092
100000279079309.03,0.07522298800325487
100000282268786.84,0.07365709404383365
100000285458264.66,0.07213834753514237
100000288647742.48,0.07066492562759043
100000291837220.3,0.06923509012690814
100000295026698.11,0.06784718293975484
100000298216175.94,0.06649962185166668
100000301405653.75,0.06519089655089425
100000304595131.56,0.06391956482757717
100000307784609.39,0.06268424905222061
100000310974087.2,0.06148363285617035
100000314163565.02,0.06031645795088336
100000317353042.84,0.05918152118279082
100000320542520.66,0.05807767175437321
100000323731998.47,0.057003808554604234
100000326921476.28,0.05595887769398868
100000330110954.11,0.05494187014633863
100000333300431.92,0.053951819552008624
100000336489909.73,0.0529878000945572
100000339679387.56,0.052048924538432004
100000342868865.38,0.05113434237297328
100000346058343.19,0.050243238017669827
100000349247821.02,0.04937482916526439
100000352437298.83,0.0485283652130007
100000355626776.64,0.04770312574095618
100000358816254.47,0.04689841910895742
100000362005732.28,0.0461135811267565
100000365195210.1,0.04534797375993333
100000368384687.92,0.04460098393830822
100000371574165.73,0.04387202242540727
100000374763643.55,0.04316052271455135
100000377953121.38,0.04246594001399784
100000381142599.19,0.04178775028309733
100000384332077.0,0.041125449287786046
100000387521554.81,0.04047855173695208
100000390711032.64,0.03984659044275009
100000393900510.45,0.039229115541405665
100000397089988.27,0.038625693722495996
100000400279466.1,0.038035907523582574
100000403468943.9,0.03745935465874163
100000406658421.72,0.036895647354618345
100000409847899.55,0.036344411744172855
100000413037377.36,0.035805287289000856
100000416226855.17,0.035277926205744645
100000419416333.0,0.03476199294366866
100000422605810.81,0.0342571636863845
100000425795288.62,0.033763125854942976
100000428984766.45,0.03327957765650596
100000432174244.27,0.032806227653478924
100000435363722.08,0.03234279433186043
100000438553199.9,0.0318890057103728
100000441742677.72,0.03144459896697052
100000444932155.53,0.03100932006287849
100000448121633.34,0.03058292340533823
100000451311111.17,0.03016517151274391
100000454500588.98,0.029755834707007087
100000457690066.8,0.02935469079956982
100000460879544.62,0.028961524809382747
100000464069022.44,0.028576128692864067
100000467258500.25,0.028198301068782013
100000470447978.08,0.027827846972120422
100000473637455.89,0.02746457761819846
100000476826933.7,0.027108310161016225
100000480016411.53,0.026758867477975196
100000483205889.34,0.02641607796339412
100000486395367.16,0.026079775315736013
100000489584844.98,0.025749798348920015
100000492774322.8,0.025425990811192973
100000495963800.61,0.025108201197345262
100000499153278.44,0.02479628258299275
100000502342756.25,0.024490092465369488
100000505532234.06,0.02418949259721656
100000508721711.89,0.02389434884095093
100000511911189.7,0.02360453102845248
100000515100667.52,0.023319912813794415
100000518290145.33,0.023040371546024813
100000521479623.16,0.022765788138661855
100000524669100.97,0.022496046952414236
100000527858578.78,0.02223103566932458
100000531048056.61,0.02197064518375624
100000534237534.42,0.021714769497391193
100000537427012.23,0.021463305607085446
100000540616490.06,0.021216153408349023
100000543805967.88,0.02097321560230773
100000546995445.69,0.020734397595568624
100000550184923.52,0.02049960741461539
100000553374401.33,0.02026875562323084
100000556563879.14,0.02004175523290429
100000559753356.97,0.01981852162678243
100000562942834.78,0.01959897248625604
100000566132312.6,0.019383027710639936
100000569321790.42,0.019170609349504687
100000572511268.23,0.018961641537307
100000575700746.05,0.018756050421242256
100000578890223.86,0.018553764101923578
100000582079701.69,0.01835471257017015
100000585269179.5,0.018158827651907333
100000588458657.31,0.01796604294545235
100000591648135.14,0.01777629376967849
100000594837612.95,0.01758951711385814
100000598027090.77,0.017405651581082364
100000601216568.6,0.017224637341909103
100000604406046.4,0.01704641608948178
100000607595524.22,0.0168709309883902
100000610785002.05,0.016698126633165583
100000613974479.86,0.016527949008064906
100000617163957.67,0.016360345440767768
100000620353435.5,0.016195264565162088
100000623542913.31,0.01603265628526163
100000626732391.12,0.01587247173320844
100000629921868.95,0.01571466323586309
100000633111346.77,0.015559184282389242
100000636300824.58,0.015405989486096424
100000639490302.39,0.015255034555142839
100000642679780.22,0.015106276259708163
100000645869258.03,0.014959672404608389
100000649058735.84,0.014815181795631134
100000652248213.67,0.01467276421343574
100000655437691.48,0.014532380388191192
100000658627169.3,0.014393991968871755
100000661816647.12,0.014257561499732962
100000665006124.94,0.01412305239743758
100000668195602.75,0.013990428923006584
100000671385080.58,0.01385965616059369
100000674574558.39,0.013730699996833032
100000677764036.2,0.013603527095175573
100000680953514.03,0.013478104876717696
100000684142991.84,0.013354401501535279
100000687332469.66,0.013232385845166646
100000690521947.48,0.01311202748127903
100000693711425.3,0.012993296664781133
100000696900903.11,0.012876164310240523
100000700090380.94,0.012760601976196747
100000703279858.75,0.012646581849868232
100000706469336.56,0.01253407672731568
100000709658814.38,0.012423059999772583
100000712848292.2,0.012313505637081884
100000716037770.02,0.012205388174840237
100000719227247.83,0.012098682696631686
100000722416725.66,0.011993364821556383
100000725606203.47,0.011889410692053928
100000728795681.28,0.011786796957519562
100000731985159.11,0.011685500762984694
100000735174636.92,0.01158549973805764
100000738364114.73,0.011486771981793693
100000741553592.56,0.011389296052413005
100000744743070.38,0.011293050957248215
100000747932548.19,0.011198016138753345
100000751122026.02,0.01110417146515697
100000754311503.83,0.011011497221318165
100000757500981.64,0.010919974095771173
100000760690459.47,0.010829583172222714
100000763879937.28,0.010740305921228264
100000767069415.1,0.01065212418817996
100000770258892.9,0.010565020185990764
100000773448370.73,0.010478976485391797
100000776637848.55,0.01039397600802145
100000779827326.36,0.010310002015543156
100000783016804.19,0.010227038102810403
100000786206282.0,0.010145068191165035
100000789395759.81,0.010064076518317202
100000792585237.64,0.0099840476321147
100000795774715.45,0.00990496638442962
